Date,Apple Watch stand hours(hr),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-05-30,16.000,72.000,7.077,90.378,57.000,187.000,13933.000,124.000
2020-05-31,17.000,98.000,6.000,88.489,61.000,235.000,15196.000,118.000
2020-06-01,18.000,69.000,3.000,89.421,61.000,202.000,16276.000,104.000
2020-06-02,18.000,80.000,3.000,88.546,60.000,185.000,15514.692,119.000
2020-06-03,18.000,64.000,9.000,92.366,62.000,160.000,12661.000,125.000
2020-06-04,18.000,94.000,2.000,93.968,61.000,197.000,16621.000,122.000
2020-06-05,17.000,46.000,6.000,90.929,66.000,212.000,14196.000,120.000
2020-06-06,13.000,36.000,1.000,98.893,72.000,132.000,8377.000,141.000
2020-06-07,17.000,84.000,,90.781,55.000,233.000,11287.521,101.000
2020-06-08,18.000,95.000,,91.449,58.000,236.000,12169.479,113.000
2020-06-09,18.000,83.000,,84.945,56.000,161.000,11488.000,113.000
2020-06-10,17.000,86.000,1.000,90.864,58.000,228.000,15159.000,111.000
2020-06-11,17.000,55.000,,80.620,55.000,192.000,11980.000,108.000
2020-06-12,18.000,42.000,2.841,80.110,56.000,152.000,10377.000,106.000
2020-06-13,18.000,49.000,,77.532,54.000,208.000,15175.581,109.000
2020-06-14,17.000,90.000,,86.960,52.000,219.000,16269.000,116.000
2020-06-15,18.000,56.000,,74.961,51.000,200.000,11630.000,106.000
2020-06-16,18.000,72.000,,88.139,56.000,191.000,14081.000,111.000
2020-06-17,19.000,56.000,,81.067,58.000,151.000,11548.000,112.000
2020-06-18,15.000,34.000,,74.962,56.000,119.000,6928.000,92.000
2020-06-19,18.000,37.000,6.000,90.940,58.000,308.000,17057.000,108.000
2020-06-20,16.000,48.000,,87.907,56.000,255.000,14300.000,107.000
2020-06-21,17.000,96.000,,77.168,54.000,221.000,13197.000,104.000
2020-06-22,19.000,50.000,,81.674,53.000,171.000,10445.000,110.000
2020-06-23,16.000,31.000,,73.053,53.000,129.000,7372.000,116.000
2020-06-24,17.000,47.000,,77.801,53.000,115.000,6826.000,96.000
2020-06-25,19.000,38.000,,77.031,56.000,122.000,5661.000,90.500
2020-06-26,17.000,32.000,,74.135,53.000,141.000,7500.000,90.000
2020-06-27,17.000,33.000,,75.732,56.000,125.000,7593.000,96.500
2020-06-28,16.000,70.000,,89.449,59.000,126.000,5876.000,112.000
2020-06-29,16.000,38.000,4.630,85.523,66.000,190.000,8244.000,98.500
2020-06-30,19.000,60.000,2.000,70.390,60.000,167.000,6536.000,97.000
2020-07-01,16.000,97.000,3.000,92.208,58.000,161.000,14142.000,129.000
2020-07-02,16.000,53.000,2.000,89.402,62.000,144.000,11827.000,117.000
2020-07-03,16.000,56.000,2.000,92.510,65.000,187.000,12827.000,123.000
2020-07-04,17.000,63.000,6.000,82.361,54.000,180.000,14759.000,112.000
2020-07-05,16.000,107.000,3.185,95.184,54.000,233.000,18444.000,115.000
2020-07-06,18.000,94.000,3.000,86.585,55.000,207.000,15722.000,117.000
2020-07-07,17.000,92.000,7.000,85.951,57.000,183.000,14423.000,126.000
2020-07-08,17.000,72.000,1.000,85.667,56.000,129.000,11246.000,127.000
2020-07-09,16.000,95.000,2.000,98.342,66.000,170.000,11327.000,121.000
2020-07-10,17.000,79.000,3.000,90.273,56.000,179.000,12859.000,127.000
2020-07-11,16.000,108.000,5.000,96.790,60.000,421.000,21668.000,119.000
2020-07-12,17.000,80.000,7.000,84.732,56.000,258.000,17162.000,119.000
2020-07-13,17.000,82.000,,82.525,53.000,187.000,14639.000,110.000
2020-07-14,18.000,82.000,6.000,87.280,55.000,202.000,15364.000,113.000
2020-07-15,17.000,87.000,2.000,89.726,57.000,173.000,14543.692,120.000
2020-07-16,16.000,38.000,2.000,81.800,62.000,120.000,8410.120,105.000
2020-07-17,15.000,32.000,,77.968,62.000,88.000,5754.000,87.500
2020-07-18,16.000,31.000,5.986,77.467,50.000,160.000,8812.000,102.000
2020-07-19,19.000,32.000,7.000,74.636,54.000,202.000,8792.000,91.000
2020-07-20,16.000,41.000,1.000,71.978,54.000,137.000,8953.000,78.000
2020-07-21,17.000,35.000,7.000,77.732,57.000,159.000,9833.000,95.000
2020-07-22,17.000,31.000,1.000,74.906,55.000,131.000,7066.200,92.000
2020-07-23,14.000,32.000,2.000,69.083,55.000,74.000,5283.000,95.500
2020-07-24,14.000,30.000,,72.820,60.000,58.000,4423.000,97.000
2020-07-25,15.000,37.000,,87.382,61.000,119.000,5893.966,110.000
2020-07-26,16.000,32.000,5.000,79.530,63.000,147.000,7862.000,98.500
2020-07-27,16.000,75.000,2.000,86.383,59.000,189.000,13066.000,118.000
2020-07-28,16.000,95.000,1.000,94.950,60.000,145.000,13804.000,142.000
2020-07-29,17.000,45.000,2.000,80.178,63.000,113.000,8019.000,94.000
2020-07-30,15.000,80.000,9.000,91.857,62.000,152.000,12114.000,105.500
2020-07-31,16.000,113.000,1.000,86.582,59.000,160.000,13870.000,67.000
2020-08-01,15.000,34.000,2.000,70.317,59.000,82.000,4113.000,88.000
2020-08-02,17.000,138.000,6.000,103.669,59.000,281.000,11363.000,86.000
2020-08-03,18.000,30.000,2.000,67.222,51.000,106.000,7231.000,81.000
2020-08-04,15.000,30.000,1.000,75.745,57.000,149.000,8755.000,96.000
2020-08-05,15.000,32.000,3.000,73.091,59.000,91.000,5441.000,91.000
2020-08-06,16.000,54.000,3.000,87.562,61.000,145.000,11153.000,123.000
2020-08-07,16.000,85.000,1.000,90.419,55.000,182.000,13617.000,121.000
2020-08-08,15.000,30.000,,62.997,54.000,66.000,3602.000,79.000
2020-08-09,12.000,76.000,9.000,80.873,52.000,115.000,5612.000,93.000
